german;english;level;example;example_en;rank
der Kranich;crane|Grus;C2;Es war der letzte Kranich, den sie anfertigte.;It was the last crane she ever made.;15304
die Sühne;atonement;C2;Er nahm sich zur Sühne das Leben.;He committed suicide to atone for his sin.;15305
das Ausrufezeichen;exclamation mark;C2;Wie heißt das Wort Ausrufezeichen in deiner Sprache?;"What's the word for ""exclamation mark"" in your language?";15306
das Katapult;catapult|trebuchet;C2;Das Katapult schleuderte den Felsen über die Schlossmauern.;The catapult hurled the boulder over the castle walls.;15307
mildern;to mitigate;C2;Das Klima hier ist milder als in Moskau.;The climate here is milder than that of Moscow.;15308
der Löwenzahn;dandelion|tooth of a lion;C2;Unmengen von Löwenzahn färbten die Wiese gelb.;A profusion of dandelions had coloured the meadow yellow.;15309
herzzerreißend;heartrending|heartbreaking;C2;Die Geschichten der Flüchtlinge sind herzzerreißend.;The refugees' stories are heartbreaking.;15310
die Spezifikation;specification;C2;;;15311
die Zugbrücke;drawbridge;C2;;;15312
die Boshaftigkeit;malice|maliciousness;C2;Sie war ein unschuldiges Opfer menschlicher Boshaftigkeit.;She was an innocent victim of human wickedness.;15313
der Sandsturm;sandstorm;C2;;;15314
das Formaldehyd|der Formaldehyd;formaldehyde;C2;;;15315
der Katalysator;catalyst|catalytic converter;C2;Viele Metalle sind gute Katalysatoren.;Many metals make good catalysts.;15316
die Verschmutzung;soiling|pollution;C2;Die meisten Meereslebewesen werden durch Verschmutzung beeinträchtigt.;Most creatures in the sea are affected by pollution.;15317
sozialistisch;socialist|socialistic;C2;;;15318
die Begebenheit;incident|event|occurrence;C2;Das ist in Japan eine ganz gewöhnliche Begebenheit.;That is the common occurrence in Japan.;15319
ausweiden;to gut|to disembowel|to eviscerate;C2;;;15320
die Trägheit;inertia;C2;Unterschätze niemals die Macht der Trägheit!;Never underestimate the power of inertia.;15321
die Sozialversicherung;social insurance|social security;C2;;;15322
die Schachfigur;chess piece|pawn;C2;Tom stellt die Schachfiguren auf dem Schachbrett auf.;Tom is placing the pieces on the chessboard.;15323
der Mistkäfer;dung beetle;C2;Wie andere Insekten, so hat auch der Mistkäfer sechs Beine.;Like other insects, dung beetles have six legs.;15324
die Unternehmung;undertaking;C2;Mary hat bei all ihren Unternehmungen immer Erfolg gehabt.;Mary has always been successful in everything she has done.;15325
die Symmetrie;symmetry;C2;Kein Gesicht weist die perfekte Symmetrie auf.;No face has perfect symmetry.;15326
das Strychnin;strychnine;C2;;;15327
die Äußerung;utterance|statement;C2;Bitte enthalten Sie sich jedweder Äußerung dieser Art.;Please refrain from saying anything like that.;15328
unersättlich;insatiable;C2;Tom hat einen unersättlichen Appetit.;Tom has an insatiable appetite.;15329
mitsingen;to sing along;C2;Du kannst bei uns mitsingen, wenn du willst.;You can sing with us if you want to.;15330
anbrechen;to start|to commence|to kick off;C2;Die Männer kehrten zurück bevor die Nacht anbrach.;The men returned before nightfall.;15331
restlos;complete|completely;C2;Der Parkplatz vor der Bank war restlos voll.;The parking lot in front of the bank was completely full.;15332
die Erschütterung;concussion|vibration|shock;C2;Plötzlich fühlte ich so etwas wie eine Erschütterung.;Suddenly I felt something like a jolt.;15333
beschenken;to endow|to present|to gift;C2;Ich beschenke gern meine Familie und meine Freunde.;I like to give gifts to my family and friends.;15334
famos;great|excellent;C2;;;15335
fortwährend;continuous|constant|incessant|continued;C2;Das Leben ist eine fortwährende Ablenkung, die nicht einmal zur Besinnung darüber kommen läßt, wovon sie ablenkt.;Life is a continual diversion that doesn't even allow you to reflect on what it diverts from.;15336
hirntot;brain-dead;C2;Die Ärzte sagen Ihnen, dass er hirntot ist.;The doctors tell you that he is brain-dead.;15337
die Versicherungsgesellschaft;insurance company;C2;Die Versicherungsgesellschaft wird ihr den Verlust ersetzen.;The insurance company will compensate her for the loss.;15338
zuwerfen;to throw;C2;Tom sah, wie sie sich einen Blick zuwarfen.;Tom saw a look pass between them.;15339
ranlassen;to clipping of heranlassen;C2;Jetzt lass mich mal ran!;Now let me have a go!;15340
sühnen;to atone;C2;Ich sühne für meine Sünden.;I'm atoning for my sins.;15341
die Rotznase;runny nose|snot-nosed child|snot-nosed kid;C2;Komm wieder her, du kleine Rotznase!;Come back here, you little brat!;15342
das Bedrängnis|die Bedrängnis;hardship|distress;C2;Ich werde in der Bedrängnis meines Geistes sprechen.;I will speak in the anguish of my spirit.;15343
auswischen;to wipe clean|to rub out something;C2;;;15344
der Nordmann;Norseman|Viking|Scandinavian;C2;;;15345
verhökern;to sell off;C2;Ich habe den Verstand nicht verloren, ich habe ihn bei eBay verhökert.;I did not lose my mind, I sold it on eBay.;15346
der Schuhkarton;shoebox;C2;Was wir damals besaßen, passte in einen Schuhkarton.;What we owned in those days could fit into a shoebox.;15347
der Kohldampf;ravenous hunger;C2;Du hattest aber mächtig Kohldampf, oder?;You were very hungry, weren't you?;15348
die Moralpredigt;harangue|preachment;C2;jemandem eine Moralpredigt halten;to get preachy with someone;15349
abgleichen;to verify congruence;C2;;;15350
der Vorsteher;provost;C2;In Japan gibt es Bahnhöfe mit einer Katze als Vorsteher.;In Japan there are train stations with a cat for a stationmaster.;15351
der Chorgesang;choral singing;C2;;;15352
bergsteigen;to mountaineer;C2;Mein Ehemann und ich pflegten gemeinsam bergsteigen zu gehen.;My husband and I used to go mountain climbing together.;15353
fortwähren;to continue|to go on;C2;Die monatlichen Treffen währten fort.;The monthly meetings continued.;15354
heranlassen;to let something affect adversely;C2;eine Sache an sich heranlassen;to let something get to you;15355
der Future;futures contract;C2;;;15356
die Mole;jetty|mole;C2;Wie viele Mole Bor sind in dieser Lösung?;How many moles of boron are there in this solution?;15357
die Klinke;door handle|jack;C2;Ich habe eine neue Klinke an die Tür gemacht.;I've put a new handle on the door.;15358
der Geizkragen;miser|skinflint;C2;Er ist ein Geizkragen.;He is very stingy with his money.;15359
die Soziologie;sociology;C2;Franks Hauptfach an der Universität war Soziologie.;Frank majored in sociology at university.;15360
die Klaustrophobie;claustrophobia;C2;Er sagte, dass er Klaustrophobie habe.;He said that he was claustrophobic.;15361
die Hydraulik;hydraulics;C2;;;15362
schleimig;slimy|mucous|mucoid|obsequiously friendly|also smarmy|slick;C2;Weißt du, ob Okra oder Natto schleimiger ist?;Do you know which of okra and natto is more gooey?;15363
das Übergewicht;overweight|obesity|abundance|preponderance;C2;Es leiden immer mehr Menschen an deutlichem Übergewicht.;More and more people are becoming seriously overweight.;15364
der Kaschmir;cashmere;C2;Neulich habe ich einen Science-fiction-Film aus Kaschmir gesehen.;The other day, I watched a Kashmiri science-fiction film.;15365
die Redefreiheit;freedom of speech;C2;Eine große Zahl von Studenten kämpfte für die Redefreiheit.;A great number of students battled for freedom of speech.;15366
die Bluttransfusion;transfusion|blood transfusion;C2;Haben Sie schon einmal eine Bluttransfusion erhalten?;Have you ever received a blood transfusion?;15367
pragmatisch;pragmatic;C2;„Bäume haben keine Seele“, sagte die pragmatische Diana.;"""Trees haven't souls,"" said practical Diana.";15368
der Drückeberger;shirk|quitter;C2;Niemand mag einen Drückeberger.;Nobody likes a quitter.;15369
der Köhler;charcoal burner|coalfish|coley|pollock Pollachius virens;C2;;;15370
die Pauke;kettledrum|timpani|bass drum|any large low-pitched drum|scolding;C2;;;15371
der Kassettenrekorder;cassette deck|tape recorder;C2;Dieser Kassettenrekorder hat 40 000 Yen gekostet.;This tape recorder cost 40,000 yen.;15372
trojanisch;Trojan;C2;;;15373
die Abzocke;rip-off;C2;;;15374
das Doppelbett;double bed;C2;Ich möchte ein Zimmer mit einem Doppelbett reservieren.;I would like to book a room with a double bed.;15375
der Vollzug;act of enforcing|executing|or implementing;C2;;;15376
die Altstadt;historic city center|old town;C2;Viele Besucher strömen jedes Jahr in die Altstadt.;Many tourists visit the Old City every year.;15377
die Richtigkeit;correctness;C2;Dies hat die Richtigkeit des Gerüchtes bewiesen.;It proved the truth of the rumor.;15378
die Vorratskammer;pantry;C2;Die Vorratskammer ist leer.;The pantry is empty.;15379
pauken;to swot|to cram|to beat a drum|to drum in|to emphasize;C2;Wir mussten für die Prüfung richtig pauken.;I had to study hard for the exam.;15380
vernichtend;crushing|devastating|destroying|withering;C2;Die Riesen haben die Ausweicher vernichtend geschlagen.;The Giants annihilated the Dodgers.;15381
eingeengt;cramped|constrained|constricted;C2;;;15382
der Beschleuniger;agent noun of beschleunigen;C2;;;15383
der Geigerzähler;Geiger counter;C2;Tom hat sich einen Geigerzähler gekauft.;Tom bought a Geiger counter.;15384
glitschig;slippery|slick|greasy|slimy|squidgy;C2;nasse und glitschige Straßen;wet and slippery roads;15385
die Reproduktion;reproduction|replication|facsimile;C2;;;15386
hinwegsehen;to look over|to overlook|to ignore;C2;Wir können nicht einfach so darüber hinwegsehen.;We can't just ignore this.;15387
der Apfelwein;cider|apple cider;C2;Was trinkst du lieber? Apfelwein oder Champagner?;Which do you like better? Apple cider, or champagne?;15388
hereinlassen;to let in;C2;Tom öffnete die Tür, um die Katze hereinzulassen.;Tom opened the door to let the cat in.;15389
die Keksdose;cookie jar|biscuit tin;C2;Jemand hat alle Kekse aus der Keksdose gegessen.;Someone ate all the cookies from the cookie jar.;15390
der Notizblock;notepad;C2;Ich kaufte mir ein paar Notizblocks mit Spiralbindung.;I bought myself several spiral-bound notebooks.;15391
der Knutschfleck;hickey|love bite;C2;;;15392
keusch;chaste|sexually pure;C2;;;15393
der Montagabend;Monday evening;C2;Ich freue mich auf die Montagabende.;I look forward to Monday evenings.;15394
die Maschinerie;machinery;C2;;;15395
die Ablage;filing|storage|branch office|deposit|deposition;C2;Legen Sie das Buch auf die untere Ablage.;Put the book on the bottom shelf.;15396
der Templer;a Templar;C2;;;15397
die Habseligkeit;belonging;C2;Lass deine Habseligkeiten nie unbeaufsichtigt zurück!;Don't leave your belongings unattended.;15398
klatschnass;sopping wet|wringing wet|soaking wet;C2;Tom hielt einen Regenschirm für unnötigen Ballast und ist deswegen jetzt klatschnass.;Tom thought an umbrella would be a needless encumbrance, which is why he's now soaking wet.;15399
ungewollt;unintended|unwanted|inadvertent|unintentional;C2;Ich bin ungewollt schwanger geworden.;I got pregnant accidentally.;15400
leibhaftig;physical|material|incarnate|corporeal;C2;Er ist der leibhaftige Teufel.;He is the devil incarnate.;15401
der Verfechter;advocate|champion|stickler;C2;;;15402
einengen;to constrict|to contract|to concentrate;C2;;;15403
abrücken;to move away;C2;;;15404
der Straßenräuber;highwayman|brigand;C2;Wir wurden von Straßenräubern überfallen.;We were attacked by highwaymen.;15405
das Neuland;newly converted farmland|uncharted waters|untrodden ground;C2;Das Internet ist für uns alle Neuland;The Internet is for us all uncharted territory;15406
der Märchenprinz;Prince Charming|fairytale prince;C2;Layla suchte nach ihrem Märchenprinz.;Layla was looking for her Prince Charming.;15407
die Ostseite;east side;C2;;;15408
angesammelt;accumulated;C2;Es hat sich Schmutz unter Ihren Fingernägeln angesammelt.;Dirt has built up under your fingernails.;15409
ansammeln;to accumulate|to pile up|to gather|to accrue;C2;Es hat sich Schmutz unter euren Fingernägeln angesammelt.;Dirt has built up under your fingernails.;15410
die Stickerei;embroidery;C2;Das ist eine echte Suzhou-Stickerei.;This is an authentic Suzhou embroidery.;15411
die Auslöschung;effacement;C2;;;15412
der Lieferservice;delivery service;C2;;;15413
der Streichelzoo;petting zoo;C2;Für die Mutigen ist jeder Zoo ein Streichelzoo.;For the brave, every zoo is a petting zoo.;15414
der Indigo|das Indigo;indigo|a dye|Indigofera;C2;Es gibt sieben Regenbogenfarben: Rot, Orange, Gelb, Grün, Blau, Indigo und Violett.;There are seven colors in the rainbow: red, orange, yellow, green, blue, indigo, violet.;15415
das Indigo;indigo|a colour;C2;Es gibt sieben Regenbogenfarben: Rot, Orange, Gelb, Grün, Blau, Indigo und Violett.;There are seven colors in the rainbow: red, orange, yellow, green, blue, indigo, violet.;15416
die Rolltreppe;escalator;C2;Du kannst die Rolltreppe oder den Fahrstuhl nehmen.;You can take the escalator or the elevator.;15417
der Teekessel;teapot;C2;;;15418
die Schnepfe;snipe|woodcock|unpleasant|unlikable woman|prostitute;C2;;;15419
immens;immense|enormous|huge;C2;Er hinterließ seinen Kindern ein immenses Vermögen.;He left an immense fortune to his children.;15420
die Dauerwelle;perm;C2;Die Dauerwelle bitte nicht zu eng machen!;Don't make the perm too tight, please.;15421
der Taschenrechner;electronic pocket calculator;C2;Tom öffnete die Schublade, um einen Taschenrechner herauszunehmen.;Tom opened the drawer to get a calculator.;15422
der Spielfilm;narrative film|fictional film|fiction film;C2;Werner Herzog dreht ausgezeichnete Dokumentationen und Spielfilme.;Werner Herzog makes outstanding documentaries and feature films.;15423
argwöhnisch;suspicious|leery;C2;Tom und Maria sahen sich argwöhnisch an.;Tom and Mary looked at each other suspiciously.;15424
der Herzschrittmacher;pacemaker;C2;permanenter / dauerhafter Herzschrittmacher.;permanent pacemaker.;15425
aufspringen;to jump on something|to spring/leap to one's feet|to start up|to jump up from something|to bounce|to dehisce;C2;Es ist gefährlich, auf einen fahrenden Zug aufzuspringen.;It is dangerous to jump onto a moving train.;15426
die Aggressivität;aggressiveness;C2;Ist Aggressivität angeboren oder gelernt?;Is aggression natural, or is it learned?;15427
der Hampelmann;jumping-jack|hyperactive person|spaz;C2;Mein Freund ist wirklich ein Hampelmann.;My friend is really a clown.;15428
die Grimasse;grimace|gurn;C2;Ich schneide Tom gegenüber gerne Grimassen.;I like to make faces at Tom.;15429
der Blumenkohl;cauliflower;C2;Broccoli mag ich, aber ich hasse Blumenkohl.;I like broccoli, but I hate cauliflower.;15430
namenlos;nameless|innominate;C2;;;15431
die Wettervorhersage;weather forecast;C2;Nach der Wettervorhersage wird es morgen Nachmittag regnen.;The weather forecast says it'll rain tomorrow afternoon.;15432
der Etat;budget;C2;Der Etat scheint fehlerhaft und überdies unrealistisch zu sein.;The budget appears to be inaccurate and unrealistic.;15433
der Verzehr;consumption;C2;Bitte den Salat vor dem Verzehr gründlich waschen.;Please wash the lettuce well before you eat it.;15434
der Größenwahn;megalomania|delusion of grandeur;C2;;;15435
der Trostpreis;consolation prize;C2;Ich habe zwar nicht gewonnen, aber immerhin einen Trostpreis ergattert.;I didn't win, but at least I got a consolation prize.;15436
unverzichtbar;indispensable|essential;C2;Und so spielt jeder Bürger eines unverzichtbare Rolle.;And so each citizen plays an indispensable role.;15437
die Zentralbank;central bank;C2;Die Zentralbank der Vereinigten Staaten hat den Zinssatz gesenkt.;The Federal Reserve slashed interest rates.;15438
der Überträger;carrier;C2;;;15439
die Schneeflocke;snowflake;C2;Tom betrachtete die Schneeflocken, die vom Himmel fielen.;Tom looked at the snowflakes falling from the sky.;15440
kolumbianisch;Colombian;C2;Die kolumbianische Regierung verlangte mehr Geld.;The Colombian government demanded more money.;15441
das Laboratorium;laboratory;C2;Dank seiner historischen Entdeckung erwarb sich das Laboratorium einen legendären Ruf.;The laboratory acquired a fabulous reputation for its historic discovery.;15442
der Uhrmacher;clockmaker|watchmaker|horologist;C2;Tom ist ein Uhrmacher vom Fach.;Tom is an expert clockmaker.;15443
huldigen;to [with dative] to pay homage|to honour;C2;Dieser Stamm huldigt den Ahnen.;That tribe worships its ancestors.;15444
nachahmen;to copy|to imitate|to emulate;C2;Er versuchte immer, das Verhalten seines großen Bruders nachzuahmen.;He always tried to mimic his big brother's behavior.;15445
weitgehend;extensive|to a large extent|largely|mostly|predominantly;C2;Mein Erfolg ist weitgehend deiner Hilfe zuzuschreiben.;My success is largely due to your help.;15446
unverkäuflich;unsaleable|not for sale;C2;Das Schiff ist unverkäuflich.;The ship is unsellable.;15447
die Plakette;sticker|tag|plaque;C2;Der Raum ist voller Pokale, Preise, Plaketten, Medaillen und Diplome.;The room is full of trophies, prizes, mounted shields, medals and award certificates.;15448
die Abgeschiedenheit;seclusion|solitude|isolation|remoteness;C2;Tom und Maria leben in Abgeschiedenheit von den Versorgungsnetzen.;Tom and Mary live off-grid.;15449
muskulös;muscular|strong|robust|vigorous;C2;Arnold wollte der muskulöseste Mann auf der ganzen Welt werden.;Arnold was striving to be the most muscular man in the world.;15450
verdampfen;to evaporate|to vaporize / vaporise;C2;In der Sonnenhitze verdampfen die Pfützen schnell.;The puddles evaporate quickly in the heat of the sun.;15451
verdampft;vaporized|evaporated;C2;Actinium verdampft bei 3198 °C.;Actinium vaporizes at 3,198°C.;15452
das Konklave;conclave;C2;Kardinal Bergoglio wurde vom Konklave zum Papst gewählt.;Cardinal Bergoglio was elected Pope by the Conclave.;15453
die Fertigkeit;skill|proficiency|facility|dexterity;C2;Gesichter lesen zu können ist eine lebenswichtige Fertigkeit.;The ability to read faces is an essential skill.;15454
bekunden;to prove|to show|to evince|to state|to express|to testify;C2;Maria war nicht die erste, die hier Unwillen zur Tat bekundete.;Mary wasn't the first one who said she didn't want to do that.;15455
das Schulkind;schoolchild;C2;Schulkinder sind doppelt so oft erkältet wie Erwachsene.;School children have colds twice as often as adults.;15456
der Breitengrad;latitude;C2;Reykjavík ist die Hauptstadt mit dem nördlichsten Breitengrad.;Reykjavík is the northernmost capital city.;15457
starrköpfig;obstinate|stubborn|wrongheaded;C2;Mit zunehmendem Alter wurde er starrköpfiger.;As he grew older, he became more obstinate.;15458
erzittern;to tremble|to quake;C2;Mein Haus erzittert immer, wenn ein Lastwagen vorbeifährt.;My house always shakes when a lorry goes by.;15459
triftig;convincing|compelling|cogent;C2;Sage mir ein paar triftige Gründe, warum du nicht gekommen bist!;Tell me some relevant reasons why you ain’t come!;15460
unschätzbar;inestimable|uncalculable|invaluable;C2;Edelsteine von unschätzbarem Wert verschwanden aus dem Museum.;Invaluable jewels disappeared from the museum.;15461
der Rowdy;rowdy|hooligan;C2;In seiner Jugend war mein Vater ein Rowdy.;In his youth, my dad was a hooligan.;15462
aufhetzen;to agitate|to incite|to stir up|to foment;C2;Wahrscheinlich versuchte sie, dich gegen ihre Freunde aufzuhetzen.;Probably she tried to set you against her friends.;15463
verwinden;to get over|to cope with|to overcome;C2;Auch nach drei Jahren hat er die Trennung von seiner Frau nicht verwunden.;Even after three years he hasn’t gotten over the separation from his wife.;15464
das Legat;legacy;C2;;;15465
der Legat;legate;C2;;;15466
feststehen;to stand firm;C2;Die Gegenwart allein ist das, was immer da ist und unverrückbar feststeht.;The present is exclusively that which is always here and remains unchanged.;15467
die Kamikaze;a risky;C2;Das ist reine Kamikaze.;This is utter suicide.;15468
durcharbeiten;to work throughout;C2;Die Ingenieure haben die ganze Nacht durchgearbeitet.;The engineers worked through the night.;15469
auffassen;to understand|to interpret|to consider;C2;Wie muss ich das auffassen?;How should I understand this?;15470
seitwärts;sideward;C2;Seitwärts einparken gilt als Königsdisziplin beim Autofahren.;Parallel parking is considered to be the most difficult part of driving.;15471
zubringen;to bring|to spend|to be able to close;C2;Ich würde gerne das ganze Wochenende schlafend zubringen.;I'd like to spend the whole weekend sleeping.;15472
die Opernmusik;opera music|operatic music;C2;;;15473
der Aktenschrank;filing cabinet;C2;Die Schubladen des Aktenschrankes stehen offen.;The file cabinet drawers are open.;15474
die Handelskammer;chamber of commerce;C2;;;15475
bildhübsch;pretty as a picture|gorgeous;C2;Deine kleine Schwester ist bildhübsch.;Your younger sister is very beautiful.;15476
das Fotoshooting;photo shoot;C2;;;15477
der Nebeneffekt;side effect;C2;Verbesserte Medizintechnik ist einer der Nebeneffekte des Raumfahrtprogramms gewesen.;Improved medical technology has been one of the spin-offs of the space program.;15478
die Siebzig;seventy;C2;Siebzig Prozent der britischen Bevölkerung sprechen keine zweite Sprache.;Seventy percent of the British people don't speak a second language.;15479
zurückstellen;to put off|to defer|to replace|to put back;C2;Dieses Wochenende werden die Uhren eine Stunde zurückgestellt.;The clocks will be put back an hour this weekend.;15480
die Morgenstunde;morning hour;C2;Die frühen Morgenstunden sind für mich die effektivsten.;The early morning hours are the most effective for me.;15481
der Plattenvertrag;record deal;C2;;;15482
der Zampano;someone who is self-important|pompous and overbearing|big shot;C2;;;15483
die Brotkrume;breadcrumb;C2;;;15484
das Fallschirmspringen;Parachuting or skydiving;C2;Segeln ist weniger riskant als Fallschirmspringen.;Sailing ist less risky than skydiving.;15485
reaktivieren;to reactivate;C2;;;15486
die Beschädigung;injury|damage;C2;Die meisten Beschädigungen sollten sich beseitigen lassen.;Most of the damage should be repairable.;15487
der Eber;boar;C2;„Wo ist Tom?“ – „Der ist im ‚Lachenden Eber‘ und betrinkt sich.“;"""Where is Tom?"" ""He's out drinking at the Laughing Boar.""";15488
das Kalium;potassium;C2;Beeren sind reichhaltig an Mineralien wie Kalium.;Berries are high in minerals such as potassium.;15489
die Bandbreite;bandwidth;C2;;;15490
die Einwanderung;immigration;C2;Kleinere Bevölkerungsgruppen fürchten sich zu Recht vor Einwanderung.;Small populations fear immigration with reason.;15491
das Geheul;howling;C2;;;15492
die Bulldogge;bulldog;C2;;;15493
der Verbraucher;consumer;C2;Wir Verbraucher müssen mehr inländische Produkte kaufen.;We consumers must buy more domestic products.;15494
verschmähen;to scorn|to disdain;C2;Die von der Kuh verschmähte Rauke freute den Ochsen.;The arugula that the cow did not want delighted the ox.;15495
das Malheur;mishap;C2;;;15496
die Singularität;singularity;C2;Eine Singularität ist eine thermodynamische Sackgasse und erklärt nicht den Ursprung des Universums.;A singularity is a thermodynamic dead end and does not explain the origin of the universe.;15497
verhüllen;to cloak|to cover|to veil;C2;Dichter Nebel verhüllte die Häuser des Tals.;Thick fog shrouded the houses in the valley.;15498
die Hausdurchsuchung;house-search;C2;;;15499
rasant;having a flat trajectory|rapid|turbulent|tempestuous;C2;Sie ist eine Sängerin, deren Popularität rasant wächst.;She is a singer whose reputation is growing fast.;15500
selbstgerecht;self-righteous|self-satisfied|arrogant;C2;Es gibt so viele selbstgerechte Menschen.;There are so many smug people.;15501
die Besonderheit;feature;C2;Jede Sprache hat ihre eigenen Besonderheiten.;Every language has its own quirks.;15502
die Biochemie;biochemistry;C2;Ich habe wenig Kenntnisse auf dem Gebiet der Biochemie.;I have little knowledge of biochemistry.;15503
abweichen;to differ or vary|to deviate or diverge;C2;Ich werde von meinem Weg nie abweichen.;I will never go out of my way.;15504
der Geschichtenerzähler;storyteller;C2;Wir haben zu wenig gute Geschichtenerzähler.;We have very few good storytellers.;15505
der Missionar;missionary;C2;Tom ist als christlicher Missionar nach Korea gegangen.;Tom went to Korea as a Christian missionary.;15506
der Drogenabhängiger;drug addict;C2;Toms Fahrrad wurde von einem Drogenabhängigen gestohlen.;Tom's bike was stolen by a drug addict.;15507
schrittweise;step-by-step|incremental|gradual;C2;Ich werde mein Vorhaben schrittweise in die Tat umsetzen.;I will accomplish my purpose step by step.;15508
verrostet;rusty;C2;Mein verrosteter Ford ging kaputt und versperrte die Kreuzung.;My rusty Ford broke down, obstructing the intersection.;15509
die Walküre;Valkyrie;C2;;;15510
das Konzil;church council|synod;C2;das Erste Nicänische Konzil;the First Council of Nicaea;15511
abgeführt;discharged;C2;Er wurde von vier Polizeibeamten mitten in der Nacht abgeführt.;He was taken away by four police officers in the middle of the night.;15512
sonstig;other;C2;Auch Hühner und sonstige Tiere können die Grippe bekommen.;Chickens and some other animals also get the flu.;15513
allgegenwärtig;ubiquitous|omnipresent;C2;Der Goldene Schnitt ist in der Natur allgegenwärtig.;The Golden Ratio is found everywhere in nature.;15514
unzureichend;inadequate|insufficient|deficient;C2;Zwei Steckdosen sind für ein Sitzungszimmer unzureichend.;Two sockets are not enough for a meeting room.;15515
verrosten;to rust;C2;Eisen, das nicht benutzt wird, das verrostet.;Iron not used soon rusts.;15516
die Instanz;legal authority|instance;C2;Der Bundesgerichtshof ist die oberste gerichtliche Instanz für Strafverfahren in Deutschland.;The Federal Court of Justice is the highest judicial authority for criminal proceedings in Germany.;15517
die Einsatzkraft;responder|forces|emergency crew|personnel;C2;;;15518
närrisch;silly|crazy|strange;C2;Keiner ist so närrisch, wie ein alter Narr.;There is no fool like an old fool.;15519
die Prozession;procession;C2;Die Prozession verläuft immer durch die ältesten Straßen der Stadt.;The procession always passes through the town's oldest streets.;15520
der Scherge;henchman;C2;;;15521
platonisch;platonic;C2;Tom und Maria führen eine platonische Beziehung.;Tom and Mary have a platonic relationship.;15522
durchgreifen;to grasp through|to take action;C2;Sie sagte, dass sie hart gegen das Verbrechen durchgreife.;She says that she's tough on crime.;15523
befangen;biased|prejudiced|bashful|shy|self-conscious|caught up;C2;Sie gaben zu, in einem Irrtum befangen gewesen zu sein.;They admitted that they were wrong.;15524
die Finte;feint|twait shad|Alosa fallax;C2;;;15525
sündhaft;sinful|wicked;C2;Sie kerkern Vielfraße für ihre sündhafte Schlemmerei ein.;They're imprisoning gourmands for their sinful gluttony.;15526
spoilern;to spoil;C2;;;15527
nachjagen;to pursue|to chase;C2;Ich habe einen Hund einem Eichhörnchen nachjagen sehen.;I saw a dog chasing a squirrel.;15528
der Nachtschatten;night-time shadow|nightshade;C2;;;15529
festfahren;to get stuck|to bog down;C2;Multilaterale Handelsgespräche haben sich wegen Einfuhrbeschränkungen festgefahren.;Multilateral trade negotiations ran aground over import quotas.;15530
der Gegenschlag;counterstrike;C2;Die Sahrauis entschlossen sich zum Gegenschlag.;The Sahrawis decided to retaliate.;15531
der Trunkenbold;drunkard;C2;Er war ein richtiger Trunkenbold.;He was a real drunkard.;15532
der Freundeskreis;circle of friends;C2;In meinen Freundeskreis treten immer mehr Skandinavier ein.;More and more Scandinavians are joining my circle of friends.;15533
der Müllsack;bin bag|garbage bag;C2;Maria befahl, dass die parfümierten Müllsäcke augenblicklich durch geruchslose zu ersetzen seien.;Mary ordered that the scented bin bags be replaced at once by odourless ones.;15534
ausweinen;to cry oneself out;C2;Ich brauchte nur mal eine Schulter, an der ich mich ausweinen konnte.;I just needed a shoulder to cry on.;15535
festgefahren;entrenched|stuck|bogged down;C2;Von diesen festgefahrenen alten Gewohnheiten müssen wir uns befreien.;These entrenched habits are things we have to free ourselves from.;15536
verheddern;to become entangled|to get stuck|to confused|to get into a muddle;C2;Das Netz verhedderte sich in der Schiffsschraube.;The net got entangled in the propeller.;15537
der Sternenhimmel;starry|starlit sky;C2;In dieser Gegend sieht man einen klaren Sternenhimmel.;Stars can be seen clearly in this area.;15538
der Herzschmerz;heart pain|sentimentality in love stories|shmaltz;C2;;;15539
wiedererlangen;to recover|to regain|to resume;C2;Ich musste zur Drohung greifen, um mein Geld wiederzuerlangen.;I had to resort to threats to get my money back.;15540
der Nachthimmel;night sky;C2;Die Sterne leuchten wie Diamanten am brasilianischen Nachthimmel.;The stars shine like diamonds in the Brazilian night sky.;15541
das Erinnerungsvermögen;recollection ability;C2;Das Alter hat sich auf ihr Erinnerungsvermögen ausgewirkt.;Old age has undermined her memory.;15542
das Pflichtgefühl;conscientiousness|sense of duty;C2;Ich tue das nicht aus Pflichtgefühl gegenüber meiner Mutter.;I don't do it out of obligation to my mother.;15543
erfinderisch;inventive|imaginative|ingenious;C2;Er hat gesagt, dass Not erfinderisch macht.;He said that necessity is the mother of invention.;15544
zusammenlegen;to merge|to amalgamate|to fold|to all pitch in;C2;Wenn wir zusammenlegen, könnte es für einen Wochenendtrip reichen.;If we all pitch in, it would be enough for a weekend trip.;15545
die Laborratte;laboratory rat;C2;;;15546
der Gedächtnisschwund;memory loss|amnesia;C2;Wasser hilft den mit dem Alterungsprozess verbundenen Gedächtnisschwund zu verhindern.;Water helps to prevent amnesia linked to the aging process.;15547
runterschlucken;to swallow;C2;Er hat die Möhren mal ganz schnell runtergeschluckt.;He swallowed that entire mouthful of carrots.;15548
narrisch;silly|idiotic;C2;Keiner ist so närrisch, wie ein alter Narr.;There is no fool like an old fool.;15549
der Gruppenführer;section commander|squad leader|group leader;C2;;;15550
der Südstaat;a southern state;C2;Sie muss aus den Südstaaten kommen.;She must be from the South.;15551
